ORDERNUMBER,ORDERLINENUMBER,order_id,order_line,warehouse,delivery_date,shipping_cost
10107,2,10107,2,WH_ONLY,2003-02-24,49.84900667935069
10121,5,10121,5,WH_ONLY,2003-05-07,50.745807728211894
10134,2,10134,2,WH_ONLY,2003-07-01,52.038937084613195
10145,6,10145,6,WH_ONLY,2003-08-25,51.55150754619652
10159,14,10159,14,WH_ONLY,2003-10-11,54.31437423218813
10168,1,10168,1,WH_ONLY,2003-10-28,50.30887536233827
10180,9,10180,9,WH_ONLY,2003-11-11,49.058978077990616
10188,1,10188,1,WH_ONLY,2003-11-18,51.10861390479026
10201,2,10201,2,WH_ONLY,2003-12-01,51.357201491639415
10211,14,10211,14,WH_ONLY,2004-01-15,49.860176698055945
10223,1,10223,1,WH_ONLY,2004-02-20,49.81537067818704
10237,7,10237,7,WH_ONLY,2004-04-05,50.99364253100694
10251,2,10251,2,WH_ONLY,2004-05-19,52.360131619915464
10263,2,10263,2,WH_ONLY,2004-06-28,52.028563768847064
10275,1,10275,1,WH_ONLY,2004-07-23,49.180348096541984
10285,6,10285,6,WH_ONLY,2004-08-27,51.317441994221475
10299,9,10299,9,WH_ONLY,2004-10-01,50.23963807051813
10309,5,10309,5,WH_ONLY,2004-10-17,55.485095415950724
10318,1,10318,1,WH_ONLY,2004-11-02,51.477631226353445
10329,1,10329,1,WH_ONLY,2004-11-15,51.85838371789667
10341,9,10341,9,WH_ONLY,2004-11-24,52.22178657062112
10361,13,10361,13,WH_ONLY,2004-12-17,50.741889291751846
10375,12,10375,12,WH_ONLY,2005-02-03,50.18723891181813
10388,4,10388,4,WH_ONLY,2005-03-03,51.524173024841275
10403,7,10403,7,WH_ONLY,2005-04-08,50.003664163098875
10417,2,10417,2,WH_ONLY,2005-05-13,51.25942860840745
10103,11,10103,11,WH_ONLY,2003-01-29,50.12741637704723
10112,1,10112,1,WH_ONLY,2003-03-26,51.25880563895648
10126,11,10126,11,WH_ONLY,2003-05-29,50.09958044674775
10140,11,10140,11,WH_ONLY,2003-07-25,49.53799677087073
10150,8,10150,8,WH_ONLY,2003-09-19,52.12084782110384
10163,1,10163,1,WH_ONLY,2003-10-21,49.34270222064086
10174,4,10174,4,WH_ONLY,2003-11-07,50.487279072657785
10183,8,10183,8,WH_ONLY,2003-11-13,50.44799277016607
10194,11,10194,11,WH_ONLY,2003-11-27,49.936970680877224
10206,6,10206,6,WH_ONLY,2003-12-05,49.73173756898022
10215,3,10215,3,WH_ONLY,2004-01-29,49.65500305317333
10228,2,10228,2,WH_ONLY,2004-03-10,51.582972098840905
10245,9,10245,9,WH_ONLY,2004-05-04,50.3183169114626
10258,6,10258,6,WH_ONLY,2004-06-16,52.06739625000111
10270,9,10270,9,WH_ONLY,2004-07-19,50.74507009747727
10280,2,10280,2,WH_ONLY,2004-08-17,50.58907448333863
10291,11,10291,11,WH_ONLY,2004-09-08,50.69285535575477
10304,6,10304,6,WH_ONLY,2004-10-12,51.26612903266002
10312,3,10312,3,WH_ONLY,2004-10-21,51.36010998184895
10322,1,10322,1,WH_ONLY,2004-11-04,50.29545921702436
10333,3,10333,3,WH_ONLY,2004-11-19,50.189622487025524
